"지역","날짜","토마토","딸기"
"서울","01월 03일",4950,12375
"부산","01월 03일",4000,10000
"대구","01월 03일",4400,11000
"광주","01월 03일",4720,11800
"대전","01월 03일",4630,11575
"서울","01월 04일",4950,12375
"부산","01월 04일",4000,10000
"대구","01월 04일",4400,11000
"광주","01월 04일",4620,11550
"대전","01월 04일",4630,11575
"서울","01월 05일",4950,12375
"부산","01월 05일",4000,10000
"대구","01월 05일",4400,11000
"광주","01월 05일",4620,11550
"대전","01월 05일",4630,11575
"서울","01월 06일",4950,12375
"부산","01월 06일",4000,10000
"대구","01월 06일",4200,10500
"광주","01월 06일",4120,10300
"대전","01월 06일",4360,10900
"서울","01월 07일",4570,11425
"부산","01월 07일",4000,10000
"대구","01월 07일",4200,10500
"광주","01월 07일",4120,10300
"대전","01월 07일",4360,10900
"서울","01월 10일",4020,10050
"부산","01월 10일",4000,10000
"대구","01월 10일",4200,10500
"광주","01월 10일",4220,10550
"대전","01월 10일",4360,10900
"서울","01월 11일",4020,10050
"부산","01월 11일",4000,10000
"대구","01월 11일",4200,10500
"광주","01월 11일",4020,10050
"대전","01월 11일",4100,10250
"서울","01월 12일",4200,10500
"부산","01월 12일",4000,10000
"대구","01월 12일",4200,10500
"광주","01월 12일",4020,10050
"대전","01월 12일",4100,10250
"서울","01월 13일",4200,10500
"부산","01월 13일",4000,10000
"대구","01월 13일",4200,10500
"광주","01월 13일",4020,10050
"대전","01월 13일",4100,10250
"서울","01월 14일",4320,10800
"부산","01월 14일",4000,10000
"대구","01월 14일",4300,10750
"광주","01월 14일",4120,10300
"대전","01월 14일",4160,10400
"서울","01월 17일",4320,10800
"부산","01월 17일",4000,10000
"대구","01월 17일",4300,10750
"광주","01월 17일",4120,10300
"대전","01월 17일",4160,10400
"서울","01월 18일",4320,10800
"부산","01월 18일",4000,10000
"대구","01월 18일",4300,10750
"광주","01월 18일",4120,10300
"대전","01월 18일",4160,10400
"서울","01월 19일",4320,10800
"부산","01월 19일",4000,10000
"대구","01월 19일",4300,10750
"광주","01월 19일",4120,10300
"대전","01월 19일",4160,10400
"서울","01월 20일",4500,11250
"부산","01월 20일",4200,10500
"대구","01월 20일",4300,10750
"광주","01월 20일",4120,10300
"대전","01월 20일",4160,10400
"서울","01월 21일",4500,11250
"부산","01월 21일",4200,10500
"대구","01월 21일",4300,10750
"광주","01월 21일",4120,10300
"대전","01월 21일",4160,10400
"서울","01월 24일",3950,9875
"부산","01월 24일",3900,9750
"대구","01월 24일",3900,9750
"광주","01월 24일",4120,10300
"대전","01월 24일",4160,10400
"서울","01월 25일",3950,9875
"부산","01월 25일",3900,9750
"대구","01월 25일",3900,9750
"광주","01월 25일",4120,10300
"대전","01월 25일",4160,10400
"서울","01월 26일",4070,10175
"부산","01월 26일",4000,10000
"대구","01월 26일",4100,10250
"광주","01월 26일",4120,10300
"대전","01월 26일",4160,10400
"서울","01월 27일",4070,10175
"부산","01월 27일",4000,10000
"대구","01월 27일",4100,10250
"광주","01월 27일",4120,10300
"대전","01월 27일",4160,10400
"서울","01월 28일",4250,10625
"부산","01월 28일",4000,10000
"대구","01월 28일",4200,10500
"광주","01월 28일",4120,10300
"대전","01월 28일",4260,10650
"서울","02월 03일",4250,10625
"부산","02월 03일",4000,10000
"대구","02월 03일",4200,10500
"광주","02월 03일",4120,10300
"대전","02월 03일",4260,10650
"서울","02월 04일",3500,8750
"부산","02월 04일",4000,10000
"대구","02월 04일",4000,10000
"광주","02월 04일",3720,9300
"대전","02월 04일",4260,10650
"서울","02월 07일",3680,9200
"부산","02월 07일",4000,10000
"대구","02월 07일",4000,10000
"광주","02월 07일",3720,9300
"대전","02월 07일",4160,10400
"서울","02월 08일",3180,7950
"부산","02월 08일",3800,9500
"대구","02월 08일",3800,9500
"광주","02월 08일",3720,9300
"대전","02월 08일",4160,10400
"서울","02월 09일",3280,8200
"부산","02월 09일",3800,9500
"대구","02월 09일",3800,9500
"광주","02월 09일",3720,9300
"대전","02월 09일",3930,9825
"서울","02월 10일",3240,8100
"부산","02월 10일",3800,9500
"대구","02월 10일",3800,9500
"광주","02월 10일",3720,9300
"대전","02월 10일",3930,9825
"서울","02월 11일",3420,8550
"부산","02월 11일",3800,9500
"대구","02월 11일",3800,9500
"광주","02월 11일",3720,9300
"대전","02월 11일",3930,9825
"서울","02월 14일",3820,9550
"부산","02월 14일",3800,9500
"대구","02월 14일",3900,9750
"광주","02월 14일",3820,9550
"대전","02월 14일",3930,9825
"서울","02월 15일",3820,9550
"부산","02월 15일",3800,9500
"대구","02월 15일",3900,9750
"광주","02월 15일",3920,9800
"대전","02월 15일",4000,10000
"서울","02월 16일",4000,10000
"부산","02월 16일",3800,9500
"대구","02월 16일",4000,10000
"광주","02월 16일",4020,10050
"대전","02월 16일",4000,10000
"서울","02월 17일",4000,10000
"부산","02월 17일",3800,9500
"대구","02월 17일",3900,9750
"광주","02월 17일",3920,9800
"대전","02월 17일",4000,10000
"서울","02월 18일",4000,10000
"부산","02월 18일",3800,9500
"대구","02월 18일",3900,9750
"광주","02월 18일",3920,9800
"대전","02월 18일",4000,10000
"서울","02월 21일",4000,10000
"부산","02월 21일",3800,9500
"대구","02월 21일",4000,10000
"광주","02월 21일",4020,10050
"대전","02월 21일",4000,10000
"서울","02월 22일",4000,10000
"부산","02월 22일",3800,9500
"대구","02월 22일",3900,9750
"광주","02월 22일",3920,9800
"대전","02월 22일",4000,10000
"서울","02월 23일",4180,10450
"부산","02월 23일",3800,9500
"대구","02월 23일",3900,9750
"광주","02월 23일",3920,9800
"대전","02월 23일",4000,10000
"서울","02월 24일",4180,10450
"부산","02월 24일",4000,10000
"대구","02월 24일",3900,9750
"광주","02월 24일",4120,10300
"대전","02월 24일",4000,10000
"서울","02월 25일",4180,10450
"부산","02월 25일",3700,9250
"대구","02월 25일",3900,9750
"광주","02월 25일",3920,9800
"대전","02월 25일",3930,9825
"서울","02월 28일",4180,10450
"부산","02월 28일",3700,9250
"대구","02월 28일",3900,9750
"광주","02월 28일",3920,9800
"대전","02월 28일",3930,9825
"서울","03월 02일",4180,10450
"부산","03월 02일",3930,9825
"대구","03월 02일",3900,9750
"광주","03월 02일",3920,9800
"대전","03월 02일",3960,9900
"서울","03월 03일",4180,10450
"부산","03월 03일",3930,9825
"대구","03월 03일",3900,9750
"광주","03월 03일",3920,9800
"대전","03월 03일",3960,9900
"서울","03월 04일",4180,10450
"부산","03월 04일",3930,9825
"대구","03월 04일",3900,9750
"광주","03월 04일",3920,9800
"대전","03월 04일",3960,9900
"서울","03월 07일",4040,10100
"부산","03월 07일",3930,9825
"대구","03월 07일",3700,9250
"광주","03월 07일",3920,9800
"대전","03월 07일",3860,9650
"서울","03월 08일",3880,9700
